Company,Industry,Size
OTO Agency,Manufacturing,Mid-size (51-500)
SISAL,Marketing,Startup (1-50)
Nettowork Srl,Retail,Startup (1-50)
Ciaopeople Media Group,Retail,Startup (1-50)
Ciao People srl,Hospitality,Mid-size (51-500)
Italgas,Technology,Mid-size (51-500)
SAVE S.P.A.,Education,Startup (1-50)
Davision srl,Technology,Large (500+)
Beko Europe,Hospitality,Mid-size (51-500)
Coca‑Cola HBC Austria GmbH,Finance,Mid-size (51-500)
RE COLLECTION SRL,Retail,Large (500+)
Prodice SRL,Healthcare,Large (500+)
Altroconsumo,Finance,Startup (1-50)
IAL LOMBARDIA SRL,Manufacturing,Mid-size (51-500)
Stratego Swat,Hospitality,Startup (1-50)
LeadX Pro,Hospitality,Startup (1-50)
Atlas Copco BLM S.R.L.,Healthcare,Startup (1-50)
Operations OO,Marketing,Mid-size (51-500)
As.Co. Formazione,Marketing,Large (500+)
Dab Pumps Spa,Healthcare,Mid-size (51-500)
Gruppo DigiTouch,Education,Large (500+)
Kering,Technology,Mid-size (51-500)
Reckitt,Hospitality,Mid-size (51-500)
Jakala,Finance,Large (500+)
SB Italia S.r.l.,Manufacturing,Mid-size (51-500)
Baker Hughes,Marketing,Large (500+)
Moltiply Group,Technology,Startup (1-50)
Quantcast,Education,Large (500+)
Star srl,Healthcare,Mid-size (51-500)
State Street,Hospitality,Startup (1-50)
Exploration GmbH,Healthcare,Mid-size (51-500)
TWO WAY,Hospitality,Startup (1-50)
Masseria Le Lamie,Manufacturing,Large (500+)
Gowan Company,Marketing,Mid-size (51-500)
IKEA,Healthcare,Startup (1-50)
Cerved Group S.p.A,Finance,Mid-size (51-500)
Baxi Spa,Finance,Startup (1-50)
Business Call,Manufacturing,Large (500+)
Origgi Consulting S.r.l.,Healthcare,Large (500+)
BDR Thermea Group B.V.,Technology,Startup (1-50)
Cefla,Healthcare,Startup (1-50)
Allianz Trade in Italia,Healthcare,Mid-size (51-500)
CDI Centro Diagnostico Italiano,Marketing,Startup (1-50)
EssilorLuxottica,Hospitality,Startup (1-50)
Rinascente,Healthcare,Mid-size (51-500)
DAB Pumps,Hospitality,Startup (1-50)
WMR Group,Healthcare,Large (500+)
Coca-Cola HBC,Technology,Mid-size (51-500)
BRANDART,Education,Startup (1-50)
Dassault Systèmes,Hospitality,Mid-size (51-500)
Mooney,Healthcare,Large (500+)
Chiesi Group,Retail,Large (500+)
M3 Servizi Nautici,Technology,Startup (1-50)
Park Hyatt Milano,Technology,Mid-size (51-500)
InterSystems Italia,Hospitality,Mid-size (51-500)
Supermoney,Marketing,Large (500+)
Celltrion Healthcare Italia,Retail,Large (500+)
Marsh,Manufacturing,Startup (1-50)
Jobbit,Finance,Mid-size (51-500)
Visualitics,Marketing,Startup (1-50)
KPMG,Manufacturing,Large (500+)
Safilo,Marketing,Mid-size (51-500)
Lightcast,Technology,Mid-size (51-500)
myPOS,Manufacturing,Large (500+)
SDG Group Italy,Hospitality,Startup (1-50)
Renault Group,Hospitality,Startup (1-50)
Bausch + Lomb Italia,Hospitality,Mid-size (51-500)
Italiaonline,Finance,Large (500+)
hiop,Healthcare,Mid-size (51-500)
Osservatori Digital Innovation,Hospitality,Startup (1-50)
Dogma Systems,Hospitality,Mid-size (51-500)
Edison,Technology,Large (500+)
Omnia Technologies,Marketing,Large (500+)
Adecco,Manufacturing,Startup (1-50)
Heritage Holdings,Marketing,Large (500+)
JAKALA,Education,Mid-size (51-500)
D-Orbit,Healthcare,Mid-size (51-500)
Pininfarina Spa,Education,Mid-size (51-500)
Loro Piana,Technology,Mid-size (51-500)
TXT e-solutions SPA,Healthcare,Startup (1-50)
British American Tobacco,Healthcare,Large (500+)
Crown Packaging UK,Technology,Mid-size (51-500)
Estee Lauder,Technology,Mid-size (51-500)
GFT Technologies SE,Healthcare,Startup (1-50)
Prysmian Group,Manufacturing,Mid-size (51-500)
newcleo,Technology,Mid-size (51-500)
DELMIA,Education,Large (500+)
Akkodis,Technology,Mid-size (51-500)
Doctolib,Technology,Mid-size (51-500)
Vestas,Manufacturing,Startup (1-50)
Arup,Technology,Mid-size (51-500)
Sew Eurodrive,Marketing,Large (500+)
Angel,Education,Large (500+)
Game 7 Athletics,Technology,Large (500+)
Be Group,Technology,Mid-size (51-500)
WSP Italy,Manufacturing,Mid-size (51-500)
Cummins Inc.,Hospitality,Large (500+)
NTT DATA,Hospitality,Startup (1-50)
ALSTOM,Healthcare,Startup (1-50)
thyssenkrupp,Healthcare,Startup (1-50)
Leonardo,Finance,Large (500+)
Presto AB,Finance,Startup (1-50)
SIDEL,Education,Large (500+)
MARTARELLO ALESSANDRO,Education,Large (500+)
ABB,Healthcare,Startup (1-50)
ShopFully,Education,Mid-size (51-500)
GE Aerospace,Marketing,Startup (1-50)
Provectus,Education,Large (500+)
Flamma SpA,Technology,Large (500+)
MSC Technology,Technology,Startup (1-50)
Saipem,Marketing,Mid-size (51-500)
Champion Europe Group,Finance,Mid-size (51-500)
Bosch Italia,Education,Large (500+)
ManpowerGroup,Manufacturing,Startup (1-50)
Finera,Hospitality,Large (500+)
InterSystems,Healthcare,Startup (1-50)
Acqua di Parma,Technology,Mid-size (51-500)
Ferrari,Finance,Large (500+)
The Level Group,Education,Large (500+)
Ayvens,Education,Mid-size (51-500)
PERSICO GROUP,Retail,Large (500+)
Capgemini Invent,Finance,Mid-size (51-500)
Energy Job Search,Marketing,Startup (1-50)
Castello SGR,Finance,Large (500+)
Huawei,Hospitality,Mid-size (51-500)
BoF Careers,Marketing,Large (500+)
Dailymotion Advertising,Hospitality,Large (500+)
Atlante Srl,Finance,Large (500+)
Fondazione Telethon ETS,Technology,Startup (1-50)
Sileron,Hospitality,Startup (1-50)
Fluke,Manufacturing,Large (500+)
Intesa Sanpaolo Group,Hospitality,Mid-size (51-500)
SPINDOX SPA,Marketing,Mid-size (51-500)
Ducati Motor Holding S.p.A,Retail,Large (500+)
LEVANTE SOCIETA' COOPERATIVA,Marketing,Startup (1-50)
Afea,Hospitality,Mid-size (51-500)
HII,Retail,Mid-size (51-500)
ITALESSE,Hospitality,Mid-size (51-500)
Clayton Italia,Hospitality,Mid-size (51-500)
Grimaldi Group SpA,Hospitality,Large (500+)
Cefla s.c.,Marketing,Large (500+)
Omnia della Toffola spa,Marketing,Large (500+)
Fine Foods & Pharmaceuticals N.T.M. S.p.A.,Healthcare,Large (500+)
Oj Eventi,Manufacturing,Mid-size (51-500)
Adecco Italia,Marketing,Mid-size (51-500)
bizpal,Retail,Startup (1-50)
SCM Group,Finance,Large (500+)
Medtronic,Hospitality,Mid-size (51-500)
Rexel Italia,Technology,Large (500+)
Adecco Italia Spa,Healthcare,Large (500+)
Afol Metropolitana,Finance,Startup (1-50)
Tn Italy,Marketing,Startup (1-50)
Accenture,Manufacturing,Mid-size (51-500)
Horsa S.p.a.,Marketing,Mid-size (51-500)
Euronics,Manufacturing,Startup (1-50)
Up2you,Finance,Startup (1-50)
Tekno Blink Metal S.r.l.,Manufacturing,Mid-size (51-500)
Kantar,Finance,Mid-size (51-500)
Husky Injection Molding,Retail,Startup (1-50)
LEONORI SPA,Education,Large (500+)
Nexans,Retail,Mid-size (51-500)
PAT S.r.l.,Education,Mid-size (51-500)
Bauli Group,Retail,Large (500+)
Lectra,Retail,Startup (1-50)
Royal Caribbean group,Technology,Large (500+)
SNAPSOFT SRL - BLAZAR GROUP,Finance,Large (500+)
Defence Tech Holding – Tinexta Group,Finance,Large (500+)
QC Terme spas and resort,Education,Startup (1-50)
IQVIA,Manufacturing,Large (500+)
Ennova Research,Healthcare,Startup (1-50)
Serco,Manufacturing,Mid-size (51-500)
Takeda Pharmaceuticals,Retail,Large (500+)
selefor,Hospitality,Large (500+)
Stanley Black & Decker,Healthcare,Mid-size (51-500)
Lamborghini,Technology,Large (500+)
Iconsulting S.p.A,Education,Mid-size (51-500)
Thélios,Manufacturing,Large (500+)
Foorban,Manufacturing,Startup (1-50)
Fendi,Manufacturing,Startup (1-50)
Cerved,Marketing,Startup (1-50)
NHOA Group,Retail,Startup (1-50)
Humanitas Research Hospital,Retail,Startup (1-50)
Avanade,Hospitality,Startup (1-50)
Casa Optima,Hospitality,Large (500+)
Safetykleen,Retail,Large (500+)
ManpowerGroup Italia,Finance,Mid-size (51-500)
DOLCE&GABBANA,Marketing,Startup (1-50)
Kirey Group,Hospitality,Mid-size (51-500)
Publicis Groupe,Marketing,Mid-size (51-500)
SPREAFICO FRANCESCO & F.LLI SPA,Finance,Startup (1-50)
MIDO Watches,Retail,Large (500+)
Relatech,Healthcare,Large (500+)
PIAM Farmaceutici S.p.A.,Technology,Startup (1-50)
Italian Design Institute,Retail,Mid-size (51-500)
team.blue,Hospitality,Startup (1-50)
Comer Industries,Hospitality,Startup (1-50)
Mondadori Group,Manufacturing,Startup (1-50)
Fiserv,Hospitality,Startup (1-50)
Herzum Software srl Unipersonale,Education,Startup (1-50)
Herzum Software S.R.L. Unipersonale,Retail,Mid-size (51-500)
OSR Manage,Technology,Startup (1-50)
Action ICT,Retail,Mid-size (51-500)
Energy Team S.p.A.,Hospitality,Mid-size (51-500)
Be | Shaping the Future,Technology,Large (500+)
